DATA;COMUNE;LOCALITA';LAT;LONG;TIPOLOGIA;CODICE COL;PROV;ANNO
2024-04-07;Gravina in Puglia;C.da Albanello;40.788722;16.438278;Bosco;Arancione;BARI;2024
2024-05-06;Altamura;Sant'Antonio;40.88;16.68025;Bosco;Arancione;BARI;2024
2024-06-10;Gioia del Colle;S.C. Casotta;40.816099;16.902061;Macchia;Arancione;BARI;2024
2024-06-11;Grumo Appula;Quadrifoglio;40.912644;16.695124;Macchia;Arancione;BARI;2024
2024-06-18;Gravina in Puglia;Masseria Lorusso;40.773349;16.48619;Bosco;Arancione;BARI;2024
2024-06-20;Acquaviva delle Fonti;sp82;40.852028;16.879389;Bosco;Arancione;BARI;2024
2024-06-20;Santeramo in Colle;Lagopalumbo;40.796966;16.794257;Bosco;Arancione;BARI;2024
2024-06-21;Santeramo in Colle;Bosco del Santissimo;40.774167;16.700556;Bosco;Arancione;BARI;2024
2024-06-27;Ruvo di Puglia;Patanella;41.038889;16.425556;Bosco;Arancione;BARI;2024
2024-07-01;Acquaviva delle Fonti;masseria primocielo;40.845707;16.804675;Bosco;Arancione;BARI;2024
2024-07-09;Corato;Zecchinello;41.023;16.3445;Macchia;Arancione;BARI;2024
2024-07-09;Gioia del Colle;sp 51 bosco Romanazzi;40.744681;16.82063;Bosco;Arancione;BARI;2024
2024-07-13;Gravina in Puglia;sp 201 masseria lorusso;40.773582;16.48631;Bosco;Arancione;BARI;2024
2024-07-16;Gioia del Colle;sp 82 - vicinanze autodemolizione santoiemma;40.834252;16.900644;Bosco;Arancione;BARI;2024
2024-07-17;Santeramo in Colle;La PietÓ;40.782778;16.753889;Macchia;Arancione;BARI;2024
2024-07-20;Grumo Appula;gautieri;40.9583;16.656255;Bosco;Arancione;BARI;2024
2024-07-20;Toritto;le sentinelle caselle di cristo;40.945833;16.601667;Bosco;Arancione;BARI;2024
2024-07-21;Gravina in Puglia;Parco Grottesolagne;40.828891;16.41922;Bosco;Arancione;BARI;2024
2024-07-21;Santeramo in Colle;Bosco di Vallata;40.752476;16.792555;Bosco;Arancione;BARI;2024
2024-07-24;Santeramo in Colle;bosco la gravinella;40.750278;16.765278;Bosco;Arancione;BARI;2024
2024-07-25;Sannicandro di Bari;;40.97622;16.807098;Macchia;Arancione;BARI;2024
2024-07-25;Altamura;Bosco Vuccolo;40.784311;16.545081;Macchia;Arancione;BARI;2024
2024-07-26;Noci;ristorante Bonelli;40.733637;17.029966;Bosco;Arancione;BARI;2024
